pagename,position,text
header,1,Search for Semantic Temporal Sequences
header,2,TOP-K search tool for human activity sequences with ontological support
step,1,Datas
step,2,Ontology
step,3,Statistics
step,4,Temporal Gaps
step,5,Pattern
step,6,Methods
step,7,Parameters
step,8,Results
datapage,1,Loading Data
datapage,2,Choose how you want to load your sequence datasets
datapage,3,Upload files
datapage,4,Import one or more JSON/CSV files
datapage,5,+ Select files
datapage,6,Sample data
datapage,7,Generated datasets: 50 human activity sequences + 50 weather sequences
datapage,8,Load the sample data
datapage,9,✓ Data loaded
datapage,10.1,Expected format :
datapage,10.2,Each file must contain a list of sequences.
datapage,11,[{"activities": [{"type": "walk", "duration": 30, "isMissing": false}]}]
datapage,12,You can upload multiple files (e.g., mobility + weather) to create cross datasets.
datapage,13,Building the ontology →
