pagename,position,text
header,1,Recherche de Séquences Temporelles Sémantiques
header,2,Outil de recherche TOP-K pour séquences d'activités humaines avec support ontologique
step,1,Données
step,2,Ontologie
step,3,Statistiques
step,4,Écarts Temporelles
step,5,Motif
step,6,Méthodes
step,7,Paramètres
step,8,Résultats
datapage,1,Chargement des Données
datapage,2,Choisissez comment vous souhaitez charger vos datasets de séquences
datapage,3,Charger des fichiers
datapage,4,Importez un ou plusieurs fichiers JSON/CSV
datapage,5,+ Sélectionner des fichiers
datapage,6,Données d'exemple
datapage,7,Datasets générés : 50 séquences d'activités humaines + 50 séquences météo
datapage,8,Charger les données d'exemple
datapage,9,✓ Données chargées
datapage,10.1,Format attendu :
datapage,10.2,Chaque fichier doit contenir une liste de séquences.
datapage,11,[{"activities": [{"type": "marcher", "duration": 30, "isMissing": false}]}]
datapage,12,Vous pouvez charger plusieurs fichiers (ex: mobilité + météo) pour créer des datasets croisés.
datapage,13,Construire l'ontologie →

//id,text_en
//header_p_1,Search for Semantic Temporal Sequences
