id,text_en
header_h1_1,Search for Semantic Temporal Sequences
header_p_1,TOP-K search tool for human activity sequences with ontological support
datapage_h2_1,Loading Data
datapage_p_1,Choose how you want to load your sequence datasets
datapage_button_1,Build the ontology →
fileuploader_h5_1,Upload files
fileuploader_p_1,Import one or more JSON/CSV files
fileuploader_button_1,+ Select files
fileuploader_button_2,✕
fileuploader_span_1_1,Sending…
fileuploader_span_1_2,Send to the backend
fileuploader_p_2,Upload failed. Check the file format and that the backend is running.
exampledata_
exampledata_
exampledata_
exampledata_
exampledata_
exampledata_
exampledata_
exampledata_
